Источник,Год публикации,Автор,Страна,Место,Ссылка,Примерные координаты,Широта ,Долгота,
,,,,Переславский р-н: НП Плещеево озеро - урочище Симак,,"57.216667, 39.150000",57.216667,39.150000,
,,,,Переславский р-н: окр. дер. Криушкино,,"57.260000, 39.400000",57.260000,39.400000,
,,,,"Переславский р-н: г. Переславль-Залесский, дендрарий",,"57.120000, 38.970000",57.120000,38.970000,
,,,,Переславский р-н: с. Новоалексеевка,,"57.260000, 39.150000",57.260000,39.150000,
"Фауна жесткокрылых насекомых (Insecta, Coleoptera) Катон-Карагайского государственного национального природного парка (Юго-Западный Алтай, Восточный Казахстан)",2016, А.У. Габдуллина,Казахстан,Катон-Карагайский государственный национальный природный парк: окр. с. Жана-Ульгы,https://cyberleninka.ru/article/n/fauna-zhestkokrylyh-nasekomyh-insecta-coleoptera-katon-karagayskogo-gosudarstvennogo-natsionalnogo-prirodnogo-parka-yugo-zapadnyy,"49.212468, 84.507831",49.212468,84.507831,
"Жесткокрылые (Insecta, Coleoptera) Государственного природного заповедника «Присурский» и его охранной зоны: современное состояние изученности",2009,Л.В. Егоров,Россия,"Респ. Чувашия, Государственный природный заповедник «Присурский»",https://www.elibrary.ru/download/elibrary_27509330_10724770.pdf,"55.025278, 46.756944",55.025278,46.756944,
Материалы к познанию колеоптерофауны Мордовского государственного природного заповедника. Сообщение 2,2013,"Л.В. Егоров, А.Б. Ручин",Россия,Мордовский государственный заповедник: окр. корд. Инорки,https://cyberleninka.ru/article/n/materialy-k-poznaniyu-koleopterofauny-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-soobschenie-2,"54.727340, 43.151660",54.727340,43.151660,
,,,,Мордовский государственный заповедник: окр. корд. Дрожденовский;,,"54.764520, 43.056780",54.764520,43.056780,
,,,,Мордовский государственный заповедник: окр. корд. Долгий мост,,"54.861760, 43.192960",54.861760,43.192960,
,,,,Мордовский государственный заповедник: окр. пос. Пушта,,"54.720280, 43.210280",54.720280,43.210280,
,,,,Мордовский государственный заповедник: окр. корд. Павловский,,"54.898890, 43.292780",54.898890,43.292780,
Материалы к познанию колеоптерофауны Мордовского государственного природного заповедника. Сообщение 3,2014,"Л.В. Егоров, А.Б. Ручин",Россия,Мордовский государственный заповедник: окр. корд. Инорский,https://cyberleninka.ru/article/n/materialy-k-poznaniyu-koleopterofauny-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-soobschenie-3,"54.727340, 43.151660",54.727340,43.151660,
,,,,Мордовский государственный заповедник: корд. Новенький – оз. Б. Вальза,,"54.716670, 43.116670",54.716670,43.116670,
,,,,Мордовский государственный заповедник: окр. корд. Стеклянный,,"54.736110, 43.280560",54.736110,43.280560,
,,,,"Мордовский государственный заповедник:окр. корд. Долгий мост, пойма р. Пушта",,"54.861760, 43.192960",54.861760,43.192960,
Материалы к познанию колеоптерофауны Мордовского государственного природного заповедника. Сообщение 5,2016,"Л.В. Егоров, А.Б. Ручин",Россия,"Мордовский государственный заповедник: окр. корд. Павловский, кв. 420 ",https://cyberleninka.ru/article/n/materialy-k-poznaniyu-koleopterofauny-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-soobschenie-5,"54.898890, 43.292780",54.898890,43.292780,
,,,,"Мордовский государственный заповедник: окр. корд. Средняя Мельница, кв. 37, пойма р. Сатис",,"54.816670, 43.433330",54.816670,43.433330,
Материалы к познанию колеоптерофауны Мордовского государственного природного заповедника. Сообщение 4,2015,"Л.В. Егоров, А.Б. Ручин, Г.Б. Семишин",Россия,"Мордовский государственный заповедник: окр. корд. Павловский, кв. 420",https://cyberleninka.ru/article/n/materialy-k-poznaniyu-koleopterofauny-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-soobschenie-4,"54.898890, 43.292780",54.898890,43.292780,
,,,,Мордовский государственный заповедник: кв. 408,,-,,,
,,,,"Мордовский государственный заповедник: окр. корд. Средняя Мельница, кв. 37, пойма р. Сатис",,"54.816670, 43.433330",54.816670,43.433330,
,,,,Мордовский государственный заповедник: окр. корд. Воровский,,-,,,
,,,,"Мордовский государственный заповедник: корд. Воровский – корд. Таратинский, кв. 352",,"54.750000, 43.000000",54.750000,43.000000,
,,,,Мордовский государственный заповедник: окр. корд. Таратинский,,"54.740280, 43.114170",54.740280,43.114170,
,,,,Мордовский государственный заповедник: окр. корд. Долгий Мос,,"54.740280, 43.114170",54.740280,43.114170,
Сезонная динамика повреждения липы мелколистной комплексом членистоногих-филлофагов,2011,"И.В. Ермолаев, О.В. Сидорова",Россия,г. Ижевск,https://elibrary.ru/item.asp?id=16455980,"56.8498, 53.2045",56.8498,53.2045,
Жуки Пензенской области,2006,"Е.В. Левкович, В.Г. Левкович",Россия,Пензенская область,https://cyberleninka.ru/article/n/zhuki-penzenskoy-oblasti,-,,,
Группа филлофагов-минеров основных лесообразующих пород в Жигулевском заповеднике,2017,И.В. Любвина,Россия,Самарская обл.: Жигулевский государственный природный биосферный заповедник имени И.И. Спрыгина,https://elibrary.ru/item.asp?id=45595028,"53.340000, 49.830000 ",53.340000,49.830000,
Энтомофауна Южно-Уральского заповедника ,2010,"М.Г. Мигранов, В.Н. Саттаров",Россия,Центральная усадьба пос. Реветь,https://elibrary.ru/item.asp?id=25779175,"54.189182, 57.626243 ",54.189182,57.626243,
"Массовое размножение минирующей златки Trachys minuta L. (Coleoptera, Buprestidae) в лесах Башкирии",2013,"Е.Г. Мозолевская, С.В. Герасимов",Россия,Нуримановское лесничество ,https://cyberleninka.ru/article/n/massovoe-razmnozhenie-miniruyuschey-zlatki-trachys-minuta-l-coleoptera-buprestidae-v-lesah-bashkirii,"54.990000, 56.890000",54.990000,56.890000,
,,,,Благовещенское лесничество ,,"55.060000, 55.930000 ",55.060000,55.930000,
,,,,г. Уфа,,"54.73876, 55.97206",54.73876,55.97206,
,,,,Гафурийское лесничество,,"54.120000, 56.680000",54.120000,56.680000,
,,,,Покровское лесничество,,"54.760000, 56.440000",54.760000,56.440000,
,,,,Уфимское лесничество,,"54.800000, 56.200000",54.800000,56.200000,
Species composition and structure of the complex of pests of woody plants in plantations of Moscow,2015,"Д.С. Плоцин, В.В. Реутская",Россия,г. Москва,https://elibrary.ru/item.asp?id=24292374,"55.7558, 37.6173",55.7558,37.6173,
"Членистоногие-фитофаги в зеленых насаждениях г. Скиделя (Гродненская область, Беларусь)",2018,"А.В. Рыжая, Е.И. Гляковская",Беларусь,г. Скидель: в усадебном парке Святополк-Четвертинских;; ,https://elibrary.ru/item.asp?id=44795439,"53.5857, 24.2537",53.5857,24.2537,
,,,,"г. Скидель: в городском сквере по улице Ленина, между улицами Гагарина и Щеголева",,"53.5839, 24.2445",53.5839,24.2445,
,,,,"г. Скидель: парк за рекой Спушанкой, вокруг костела Вознесения Девы Марии",,"53.5961, 24.2633",53.5961,24.2633,
"Jewel beetles (Coleoptera, Buprestidae) of State National Nature Park Zhongar-Alatau, Kazakhstan",2022,"А.М. Тлеппаева, Р.Х. Кадырбеков",Казахстан,Государственный природный парк «Жонгар-Алатау»,https://www.elibrary.ru/item.asp?id=49770465,"45.52125° N, 80.71629° E",45.52125,80.71629,
,,,,,,"45.48078° N, 80.51806° E",45.48078,80.51806,
"Жуки златки (Coleoptera, Buprestidae) Павлодарской обласки (Северный Казахстан)",2017,А.М. Тлеппаева,Казахстан,"ГНПП «Баянаул», горы Баянаул, ур. Куркеле, окр., оз. Жыландыколь",https://rmebrk.kz/journals/3436/59592.pdf#page=95,"45.52125, 80.71629",45.52125,80.71629,
Динамика повреждений листьев липы мелколистной членистоногими минерами и галлообразователями в заповеднике «Нургуш» в 2015–2017 гг.,2017,Л.Г. Целищева,Россия, г. Киров - Государственный природный заповедник «Нургуш»,https://www.elibrary.ru/item.asp?id=32638659,"45.48078, 80.51806",45.48078,80.51806,
"Жесткокрылые (Insecta: Coleoptera) верховых болот Белорусского Поозерья, подверженных осушению",2013,В.В. Шкатуло,Беларусь,Витебская обл.: Витебский р-н: Верховое болото «Дымовщина» ,https://elibrary.ru/item.asp?id=20213039,"57.997233, 48.453933",57.997233,48.453933,
"Жесткокрылые (Insecta, Coleoptera) в растительных ассоциациях с участием вереска обыкновенного в Белорусском Поозерье",2022,"В.В. Яновская, О.И. Хохлова, Г.Г. Сушко",Беларусь,Витебская обл.: Миорский р-н: Верховое болото «Ельня»,https://publish.barsu.by/index.php/vestnik-sn/article/view/143,"55.183333, 30.083333",55.183333,30.083333,
,,,,Витебская обл.: Миорский р-н: Верховое болото «Болото Мох»,,"55.950000, 27.716667",55.950000,27.716667,
,,,,Витебская обл.: Витебский р-н:  Верховое болото «Городнянский мох»,,"55.633333, 28.133333",55.633333,28.133333,
,,,,Витебская обл.: Витебский р-н: Верховое болото «Дымовщина» ,,"55.150000, 30.200000",55.150000,30.200000,
"Материалы к изучению фауны жуков-златок (Coleoptera: Buprestidae) провинции Мазандаран, Иран",2009,"Х. Баримани Варанди, М.Ю. Калашян, Х. Барари",Иран,Провинция Мазандаран: дер. Варанд,https://www.ssc-ras.ru/files/files/7_Barimani.pdf,"36.365833, 53.206667",36.365833,53.206667,
"An Exotic Leafminer, Trachys minutus (L.) (Coleoptera: Buprestidae), Found in Massachusetts, U.S.A.",2012,"Wescott R.L., Murray T.C.",США,округ Миддлсекс: Great Meadows National Wildlife Refuge,https://bioone.org/journals/the-coleopterists-bulletin/volume-66/issue-4/072.066.0413/An-Exotic-Leafminer-Trachys-minutus-L-Coleoptera--Buprestidae-Found/10.1649/072.066.0413.full,"42.475000, -71.329722",42.475000,-71.329722,
"Находки минирующей златки Trachys minutus (Linnaeus, 1758) (Coleoptera: Buprestidae) в городе Воронеже",2022,"А.М. Кондратьева, С.Г. Ржевский, А.В. Будаева, И.И. Корнев, Е.В. Аксёненко ",Россия,"г. Воронеж: на территории лесопаркового участка ФГБУ «Всероссийский научно-исследовательский институт лесной генетики, селекции и биотехнологии» («ВНИИЛГИСбиотех»)",https://cyberleninka.ru/article/n/nahodki-miniruyuschey-zlatki-trachys-minutus-linnaeus-1758-coleoptera-buprestidae-v-gorode-voronezhe,"51.698889, 39.215000",51.698889,39.215000,
,,,,г. Воронеж: Советский р-н,,"51.600800, 39.132000",51.600800,39.132000,
,,,,г. Воронеж: Центральный р-н,,"51.692000, 39.213700",51.692000,39.213700,
"A list of specimens of the Japanese Buprestidae (Insecta: Coleoptera) preserved in the Insect Museum of the Institute for Agro-Environmental Sciences, NARO (Supplement)",2018,"Кей Ёситаке, Ютака Ёдера, Тошин Накатани, Шиничи Ёсимацу",Япония,"Хоккайдо: Сибэцу, Накасибэцу, Маруяма, берег реки Сибэцугава",https://www.cabidigitallibrary.org/doi/full/10.5555/20103149620,"43.5555, 144.9748",43.5555,144.9748,
,,,,"Хонсю: Перевал Карасава, Айдзу, Фукусима",,"37.1333, 139.8667",37.1333,139.8667,
,,,,"Хонсю: Юногойя (горячий источник), Гумма",,"36.6833, 138.6167",36.6833,138.6167,
,,,,"Хонсю: Мабуне, Нисиго, Фукусима",,"37.3000, 139.8500",37.3000,139.8500,
,,,,"Хонсю: Сумата-кё (горячий источник), Сидзуока",,"35.3000, 138.4833",35.3000,138.4833,
,,,,"Хонсю: Окаяма, Кагамино, Хаде, Ниситани, гора Ямаморияма",,"35.1333, 133.9333",35.1333,133.9333,
,,,,"Хонсю: Сига, Такасима, Син-асахи, Айба, у перевала Хасидзуме-химон",,"35.3167, 136.0167",35.3167,136.0167,
,,,,"Хонсю: Фукусима, Нисиго-мура, Мабуне",,"37.3000, 139.8500",37.3000,139.8500,
,,,,"Хонсю: Ямагата, Ниси-окитама-гун, Огуни-мати, Гомидзава",,"38.0000, 139.8833",38.0000,139.8833,
,,,,"Хонсю: Иватэ, Ханамаки, Тёсёва-риндо",,"39.3833, 141.1167",39.3833,141.1167,
,,,,"Хонсю: Ибараки, Мория, Коя, берег реки Тонэгава",,"35.9333, 140.0000",35.9333,140.0000,
,,,,"Хонсю: Фукусима, Хигаси-Сиракава, Ямацури, Такарадзака, Сасаногава",,"37.0667, 140.4000",37.0667,140.4000,
,,,,"Хонсю: Урабандай (лыжный склон), Китасибара, Фукусима",,"37.6000, 140.1167",37.6000,140.1167,
Музей,1980,Ю. Морита,Япония,Симанэ,http://museum-database.shimane-u.ac.jp/specimen/8814,"35.166510, 132.626100",35.166510,132.626100,
,,,,Камитане,,"35.166510, 132.626100",35.166510,132.626100,
,,,,Санбэ,,"35.133333, 132.633333",35.133333,132.633333,
New data on the distribution and host plants of subfamily Agrilinae in Bulgaria,2022,Vladimir Sakalian et al.,Болгария,Среднедунайская равнина: Плевен: Кайлука,https://www.researchgate.net/profile/Vladimir-Sakalian/publication/365798770_New_data_on_the_distribution_and_host_plants_of_subfamily_Agrilinae_in_Bulgaria/links/6384be57554def61937e75be/New-data-on-the-distribution-and-host-plants-of-subfamily-Agrilinae-in-Bulgaria.pdf,"43.405775, 24.617899",43.405775,24.617899,
,,,,Софийская равнина: Безден,,"42.883300, 23.100000",42.883300,23.100000,
,,,,гора Осоговска-Планина: Лисец,,"42.200000, 22.916667",42.200000,22.916667,
,,,,Южное Причерноморье: заповедник Ропотамо близ Созополя,,"42.320224, 27.738733",42.320224,27.738733,
,,,,г. Ахтополь,,"42.100000, 27.950000",42.100000,27.950000,
"A study of the insect species found on hazelnut plantation in eastern Blacksea cost.
",1973,"îhsan Ural, Mehmet Isik, Ayhan Kurt",Турция,Орду,https://dergipark.org.tr/en/pub/bitkorb/article/48412,"40.983333, 37.883333",40.983333,37.883333,
,,,,Трабзон,,"41.005000, 39.722500",41.005000,39.722500,
,,,,Гиресун ,,"40.916667, 38.383333",40.916667,38.383333,
"Contribution to the Knowledge of Phyllonorycter issikii (Kumata, 1963) (Lepidoptera: Gracillariidae) in Serbia",2018,"Jovan Dobrosavljević, Čedomir Marković, Aleksandar Stojanovic",Сербия,г. Белград,https://www.academia.edu/download/117946440/pdf_48.pdf,"44.816667, 20.466667",44.816667,20.466667,
"Entomofauna van de noordelijke Achterhoek, Verslag van de 163e zomerbijeenkomst te Vorden",2009,"Jan Cuppen,O. Vorst, Th. Heijerman",Нидерланды,Гелдерланд: г. Lochem,https://natuurtijdschriften.nl/pub/1011726/EB2009069005003.pdf,"52.161450, 6.415190",52.161450,6.415190,
,,,,Гелдерланд: дер. Klein Dochteren,,"52.151910, 6.367420",52.151910,6.367420,
,,,,Гелдерланд: усадьба Velhorst,,"52.156610, 6.333950",52.156610,6.333950,
,,,,Гелдерланд: Het Grote Veld,,"52.128530, 6.364610",52.128530,6.364610,
,,,,Гелдерланд: заповедник Kienveen ,,"52.145600, 6.342000",52.145600,6.342000,
,,,,Гелдерланд: г. Zutphen,,"52.140000, 6.195000",52.140000,6.195000,
,,,,Гелдерланд: Warnsveld,,"52.141670, 6.221670",52.141670,6.221670,
,,,,Гелдерланд: Klein Starink,,"52.116667, 6.366667",52.116667,6.366667,
"A checklist and areography of Buprestidae, Vesperidae and Cerambycidae (Coleoptera) in Abruzzo, Lazio and Molise National Park, Italy",2021,"Vladimir Sakalian, Enrico Migliaccio, Franco Tassi, Georgi Georgiev",Италия,Валь Фондильо,https://travaux.pensoft.net/article/72145/download/pdf/,"41.778172,13.856118",41.778172,13.856118,
,,,,Прато делла Корте,,"42.127958,14.070650",42.127958,14.070650,
,,,,М. Панико,,"41.741000,13.823500",41.741000,13.823500,
The Harmful Entomofauna of Woody Plants in Slovakia,2007,J. Kollár,Словакия,г. Нитро,https://www.researchgate.net/profile/Jan-Kollar-5/publication/262938504_The_harmful_entomofauna_of_woody_plants_in_Slovakia/links/0c9605396ba1518221000000/The-harmful-entomofauna-of-woody-plants-in-Slovakia.pdf,"48.306944,18.086389",48.306944,18.086389,
Studies on Buprestidae (Coleoptera) in the Sandanski — Petrich and Goce Delchev valleys — Southwest Bulgaria. II. Trophic specialization,1993,"Vladimir P. Sakalian",Болгария,г. Сандански,https://www.researchgate.net/profile/Vladimir-Sakalian/publication/305601604_Studies_on_Buprestidae_Coleoptera_in_the_Sandanski_-_Petric_and_Goce_Delcev_valleys_-_Southwest_Bulgaria_II_Trophic_specialization/links/5794e1b108aed51475d06dfe/Studies-on-Buprestidae-Coleoptera-in-the-Sandanski-Petric-and-Goce-Delcev-valleys-Southwest-Bulgaria-II-Trophic-specialization.pdf,"41.566667,23.283333",41.566667,23.283333,
,,,,г. Гоце-Делчев,,"41.566667,23.733333",41.566667,23.733333,
"Note sulla coleotterofauna xilofaga di un bosco di pianura rinaturalizzato: il Gerbasso, Carmagnola (TO) (Coleoptera: Buprestidae, Cerambycidae, Scolytidae)",2003,"Marco Rastelli, Gianfranco Curletti, Enrico Barbero",Италия,Bosco del Gerbasso (парк на северо-западе),https://www.researchgate.net/profile/Gianfranco-Curletti/publication/233753833_Note_sulla_coleotterofauna_di_un_bosco_di_pianura_rinaturalizzato_il_Gerbasso_Carmagnola/links/00b7d52f26aa06c8c7000000/Note-sulla-coleotterofauna-di-un-bosco-di-pianura-rinaturalizzato-il-Gerbasso-Carmagnola.pdf,"44.838333,7.723333",44.838333,7.723333,
Contribution to the Leafmining Insect Fauna of Bulgaria (Part 1),2007,"Rumen Tomov, Stefka Krusteva",Болгария,Риш ,https://www.researchgate.net/profile/Rumen-Tomov/publication/302045811_Contribution_to_the_leafmining_insect_fauna_of_Bulgaria_part_1/links/572e0c5608aeb1c73d1292d5/Contribution-to-the-leafmining-insect-fauna-of-Bulgaria-part-1.pdf,"42.983333,26.916667",42.983333,26.916667,
,,,,Шумен,,"43.283333,26.933333",43.283333,26.933333,
,,,,Лозево,,"43.300000,26.866667",43.300000,26.866667,
New data on the occurrence of buprestid beetles (Coleoptera: Buprestidae) in the Białowieża Primeval Forest,2019,Jerzy M. Gutowski et al,Польша,Беловежская Пуща,https://www.academia.edu/download/64343937/DOI-10.2478-frp-2019-0015%20en.pdf,"52.666667,23.833333",52.666667,23.833333,
Intérêt et protection des zones tourbeuses de Wallonie Le cas de la tourbière de Cul-des-Sarts,1978,"R. Rosoux, E. Serusiaux",Бельгия,Валлония: торфянник Кюль-де-Сар,https://orbi.uliege.be/bitstream/2268/174502/1/1978%20Colloque%20Laagvengebieden.pdf,"50.420000,5.860000",50.420000,5.860000,
"L’ENTOMOLOGISTE revue d’amateurs, paraissant tous les deux mois",2006,Daniel Rougon,Франция,Ван-Сюр-Косон,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwi4r5TS6dqTAxWxFRAIHRN-LakQFnoECB8QAQ&url=https%3A%2F%2Flentomologiste.fr%2Fwp-content%2Fuploads%2F2006-62%2Flentomologiste_2006_62_5-6.pdf&usg=AOvVaw0o8ip9zAmIqJKHrfCT_OTt&opi=89978449,"47.683333,1.650000",47.683333,1.650000,
Pflanzen und Tiere in Sachsen-Anhalt,2016,"Dieter Frank, Peer Schnitter (ред.)",Германия,Саксония-Анхальт,https://www.researchgate.net/profile/Clemens-Grosser/publication/328368497_Egel_Hirudinea_In_Pflanzen_und_Tiere_in_Sachsen-Anhalt/links/5bc8f090299bf17a1c5cb131/Egel-Hirudinea-In-Pflanzen-und-Tiere-in-Sachsen-Anhalt.pdf,"52.000000, 11.700000",52.000000,11.700000,
The Buprestoidea stored in the Coleoptera collections from the Natural History Museum of Sibiu (Coleoptera: Buprestoidea),1996,"Iuliana Vlad-Antonie, Adrian Ruicănescu",Румыния,Уезд Муреш: г. Сигишоара,https://www.researchgate.net/profile/Adrian-Ruicanescu/publication/283641728_The_Buprestoidea_stored_in_the_Coleoptera_collections_from_the_Natural_History_Museum_of_Sibiu_Coleoptera_Buprestoidea/links/5641f94408aebaaea1f89fba/The-Buprestoidea-stored-in-the-Coleoptera-collections-from-the-Natural-History-Museum-of-Sibiu-Coleoptera-Buprestoidea.pdf,"46.220000, 24.790000",46.220000,24.790000,
,,,,Уезд Брашов: г. Рышнов ,,"45.588611, 25.467500",45.588611,25.467500,
,,,,Гушерица,,"45.790000, 24.070000",45.790000,24.070000,
,,,,"Уезд Ковасна, Вылчеле ",,"45.850000, 25.680000",45.850000,25.680000,
,,,,Уезд Альба: г. Аюд,,"46.312222, 23.729167",46.312222,23.729167,
,,,,Уезд Сибиу: Parcul Natural Dumbrava Sibiului,,"45.746000, 24.099000",45.746000,24.099000,
,,,,Уезд Сибиу: Hamba ,,"45.863056, 24.196944",45.863056,24.196944,
"Ecological Groups of Coleoptera (Insecta) as Indicators of Habitat Transformation on Drained and Rewetted Peatlands: A Baseline Study from a Carbon Supersite, Kaliningrad, Russia",2024,"Vitalii Alekseev, Maxim Napreenko, Tatiana Napreenko-Dorokhova ",Россия,"Калининградская обл, Виттгиренский торфяник",https://www.mdpi.com/2075-4450/15/5/356,"54.883333, 20.833333",54.883333,20.833333,
Златки (Insecta: Coleoptera: Buprestidae) от Кресненския пролом,2001,"Владимир Сакалян, Марцо Лангуров",Болгария,Кресненское ущелье,(PDF) Jewel Beetles (Insecta: Coleoptera: Buprestidae) from Kresna Gorge (SW Bulgaria),"41.768611, 23.155000",41.768611,23.155000,
